clave,descripcion,unidad,cantidad,valor_unitario,importe,status
01010101,Concepto #1,H87,9,344.53,3100.77,Libre
01010101,Concepto #2,H87,9,63.46,571.14,Libre
01010101,Concepto #3,H87,6,245.15,1470.9,Libre
01010101,Concepto #4,H87,2,466.76,933.52,Libre
01010101,Concepto #5,H87,6,484.76,2908.56,Libre
01010101,Concepto #6,H87,8,91.96,735.68,Libre
01010101,Concepto #7,H87,3,422.41,1267.23,Libre
01010101,Concepto #8,H87,7,186.61,1306.27,Libre
01010101,Concepto #9,H87,10,482.39,4823.9,Libre
01010101,Concepto #10,H87,7,158.85,1111.95,Libre
01010101,Concepto #11,H87,5,101.47,507.35,Libre
01010101,Concepto #12,H87,1,84.12,84.12,Libre
01010101,Concepto #13,H87,7,94.49,661.43,Libre
01010101,Concepto #14,H87,2,340.89,681.78,Libre
01010101,Concepto #15,H87,2,403.92,807.84,Libre
01010101,Concepto #16,H87,10,446.13,4461.3,Libre
01010101,Concepto #17,H87,8,448.54,3588.32,Libre
01010101,Concepto #18,H87,10,199.61,1996.1,Libre
01010101,Concepto #19,H87,1,109.29,109.29,Libre
01010101,Concepto #20,H87,1,189.83,189.83,Libre
01010101,Concepto #21,H87,5,107.32,536.6,Libre
01010101,Concepto #22,H87,2,214.48,428.96,Libre
01010101,Concepto #23,H87,7,454.76,3183.32,Libre
01010101,Concepto #24,H87,8,269.53,2156.24,Libre
01010101,Concepto #25,H87,9,255.92,2303.28,Libre
01010101,Concepto #26,H87,7,303.25,2122.75,Libre
01010101,Concepto #27,H87,3,80.91,242.73,Libre
01010101,Concepto #28,H87,8,454.41,3635.28,Libre
01010101,Concepto #29,H87,6,437.97,2627.82,Libre
01010101,Concepto #30,H87,10,485.88,4858.8,Libre
01010101,Concepto #31,H87,2,211.68,423.36,Libre
01010101,Concepto #32,H87,5,224.63,1123.15,Libre
01010101,Concepto #33,H87,1,291.21,291.21,Libre
01010101,Concepto #34,H87,5,194.19,970.95,Libre
01010101,Concepto #35,H87,6,51.37,308.22,Libre
01010101,Concepto #36,H87,10,242.54,2425.4,Libre
01010101,Concepto #37,H87,4,152.48,609.92,Libre
01010101,Concepto #38,H87,5,200.88,1004.4,Libre
01010101,Concepto #39,H87,2,468.12,936.24,Libre
01010101,Concepto #40,H87,9,383.67,3453.03,Libre
01010101,Concepto #41,H87,6,414.58,2487.48,Libre
01010101,Concepto #42,H87,6,320.18,1921.08,Libre
01010101,Concepto #43,H87,7,240.53,1683.71,Libre
01010101,Concepto #44,H87,4,54.25,217.0,Libre
01010101,Concepto #45,H87,10,430.38,4303.8,Libre
01010101,Concepto #46,H87,4,460.34,1841.36,Libre
01010101,Concepto #47,H87,4,288.16,1152.64,Libre
01010101,Concepto #48,H87,8,278.08,2224.64,Libre
01010101,Concepto #49,H87,4,132.24,528.96,Libre
01010101,Concepto #50,H87,2,332.22,664.44,Libre
01010101,Concepto #51,H87,9,135.35,1218.15,Libre
01010101,Concepto #52,H87,9,276.86,2491.74,Libre
01010101,Concepto #53,H87,5,367.94,1839.7,Libre
01010101,Concepto #54,H87,2,238.23,476.46,Libre
01010101,Concepto #55,H87,4,333.61,1334.44,Libre
01010101,Concepto #56,H87,1,224.88,224.88,Libre
01010101,Concepto #57,H87,4,442.59,1770.36,Libre
01010101,Concepto #58,H87,1,327.49,327.49,Libre
01010101,Concepto #59,H87,1,317.86,317.86,Libre
01010101,Concepto #60,H87,10,220.19,2201.9,Libre
01010101,Concepto #61,H87,3,272.5,817.5,Libre
